분류,항목,인증기준,주요 확인사항,관련 법규,세부 설명,미흡사례,Pentera
물리 보안,보호구역 지정,"개인정보 및 중요정보, 주요 설비·시스템을 보호하기 위해 통제구역·제한구역·접견구역 등 물리적 보호구역을 지정하고 보호대책을 수립 및 이행해야 한다.","보호구역 지정 기준 수립 여부, 구역별 보호대책 수립, 이행 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제10조","조직 환경에 맞게 보호구역 유형을 정의하고 출입통제, 감시, 추가 안전장치 등 구역별 보호대책을 적용한다.","보호구역 지정만 하고 일부 대상 구역 미적용, 보호구역 표식 미설치",
,출입통제,보호구역은 허가된 인원만 출입하도록 통제하고 출입기록을 보존 및 검토해야 한다.,"출입 권한 부여·회수 관리 여부, 출입기록 보관 및 정기 검토 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제10조","ID카드, 비밀번호·생체정보 등 출입통제 수단을 적용하고 출입기록을 일정 기간 보관하며 이상 출입 여부를 점검한다.","출입기록 미검토, 장기 미출입자 권한 미회수",
,정보시스템 보호,"정보시스템을 환경적 위험과 비인가 접근으로부터 보호할 수 있도록 배치, 설계, 보호해야 한다.","시스템 배치 기준 수립 여부, 물리적 손상·전기적 위험 보호 여부",개인정보 보호법 제29조,"시스템 중요도에 따라 전산실, 잠금장치, 케이블 정리, 전력·통신 보호 조치를 적용한다.","시스템 위치 관리 미흡, 케이블 노출 방치",
,보호설비 운영,보호구역의 중요도에 따라 화재·수해·정전·침입 등에 대비한 보호설비를 갖추고 운영해야 한다.,"보호설비 설치 여부, 점검·운영 절차 수립 여부","개인정보 보호법 제29조 

소방시설 관련 법령","UPS, 소화설비, CCTV, 출입통제시스템 등을 설치하고 정기 점검 및 운영 기록을 관리한다.",보호설비는 있으나 점검·운영 기록 없음,
,보호구역 내 작업,"보호구역 내 작업 시 작업 승인 및 기록·사후 검토 절차를 수립, 이행해야 한다.","작업 승인 절차 존재 여부, 작업 기록 관리 여부",개인정보 보호법 제29조,"유지보수, 점검 작업 시 사전 승인, 작업자 식별, 작업 기록 작성 및 사후 검토를 수행한다.","승인 없이 작업 수행, 작업 기록 미작성",
,반출입 기기 통제,"보호구역 내 정보시스템·모바일기기, 저장매체의 반출입을 통제하고 기록을 관리해야 한다.","반출입 승인·기록 관리 여부, 보안 점검 수행 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제10조","반출입 승인 절차를 운영하고 기기 점검, 기록 유지, 이력 검토를 수행한다.","반출입 기록 누락, 승인 없는 반출",
,업무환경 보안,"공용·개인 업무환경에서 개인정보 및 중요정보가 노출되지 않도록 보호대책을 수립, 이행해야 한다.","클린데스크 운영 여부, 출력·복사물 관리 여부, 정기 점검 수행 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제10조, 제12조","문서, PC, 복합기, 책상, 서랍 등에 대해 잠금, 화면보호, 출력물 관리, 
파기 절차를 적용하고 준수 여부를 점검한다.","출력물 방치, 공용 PC 보안설정 미흡",
인증 및 권한관리,사용자 계정 관리,"사용자 계정의 등록 및 변경·삭제를 공식 절차로 관리하고, 업무 목적에 따라 최소 권한만 부여해야 한다.","계정 신청·승인 절차, 직무별 권한 부여, 계정 
공유 금지, 계정 관리 이력 유지","개인정보 보호법 제29조

 개인정보의 안전성 확보조치 기준 제5조","1인 1계정 원칙 적용, 휴·퇴직 시 즉시 계정 회수, 계정 변경 이력 기록 및 관리","승인 없이 계정 생성, 퇴직자 계정 미삭제, 과도한 권한 부여","#2,#15,#25"
,사용자 식별,"사용자를 고유하게 식별할 수 있는 ID를 부여하고, 추측 가능한 식별자 사용을 제한해야 한다.","고유 ID 사용 여부, 공용계정 사용 제한, 관리자·특수계정 식별 관리","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조","root·admin 등 기본 계정 사용 제한, 공용계정은 불가피한 경우 승인 및 통제 필요","공용 ID 사용, 
기본 관리자 계정 그대로 사용",#25
,사용자 인증,"안전한 인증수단을 적용하고 로그인 실패 제한, 불법 로그인 시도를 통제해야 한다.","비밀번호·OTP·인증서 적용, 로그인 실패 제한, 외부 접속 시 추가 인증","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조·제6조","로그인 실패 횟수 제한, 세션 타임아웃, VPN·다중인증 적용","외부 접속 시 ID·비밀번호만 사용, 로그인 실패 제한 미적용","#2,#8,#13,#35,#36,#37,#39"
,비밀번호 관리,안전한 비밀번호 작성규칙과 변경주기를 수립·이행해야 한다.,"복잡도 기준, 변경주기 설정, 재사용 제한","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조","영문 및 숫자·특수문자 조합, 초기 비밀번호 변경, 암호화 저장","단순 비밀번호 사용, 장기간 미변경, 초기 비밀번호 유지","#2,#8,"
,특수 계정 및 권한 관리,관리자 및 특수권한은 최소 인원에게만 부여하고 별도로 식별 및 관리해야 한다.,"특수권한 승인 절차, 특수계정 목록 관리, 사용 이력 점검","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조","관리자 권한 별도 승인, 외주·유지보수 계정 사용 후 즉시 회수","특수계정 다수 보유, 승인 이력 없는 관리자 권한","#13,#16,#23,#25,#26,#28,#29,#30,#31,#32,#33,#34"
,접근권한 검토,사용자 계정과 접근권한의 적정성을 주기적으로 검토해야 한다.,"권한 검토 주기, 검토 기준, 조치 이력","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조","최소 연 1회 이상 권한 점검, 직무 변경 시 권한 조정","권한 검토 미수행, 과도한 권한 유지",
접근 통제,네트워크 접근,"비인가자의 네트워크 접근을 통제하기 위해 IP 관리, 단말 인증, 네트워크 분리(DMZ, 서버존, DB존 등) 등 접근통제를 적용해야 한다.","네트워크 분리 여부, IP 관리 기준, 외부·원격 연결 통제 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제6조","네트워크 영역을 논리·물리적으로 분리하고 ACL, 방화벽, 침입차단 등을 통해 불필요한 접근을 제한한다.","내부·외부망 미분리, 중요 서버가 인터넷과 직접 연결됨","#1,#3,#5,#7,#11,#22,#35,#36,#39,40,#41"
,정보시스템 접근,"서버, 네트워크, 보안시스템에 접근 가능한 사용자, 위치, 수단을 
정의하고 접근을 통제해야 한다.","계정 승인 절차, 접속 위치·수단 제한, 불필요 서비스 제거","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제6조",서버 OS 접근 계정을 최소화하고 SSH 등 안전한 접속수단만 허용하며 세션 타임아웃을 적용한다.,"Telnet·FTP 사용, 장기 미접속 계정 방치","#1,#3,#4,#21,#24,#38"
,응용프로그램 접근,사용자 업무에 따라 응용프로그램 접근권한을 차등 부여하고 불필요한 개인정보 노출을 최소화해야 한다.,"역할별 권한 부여, 세션 통제, 개인정보 마스킹 적용 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조, 제6조","관리자 화면 접근 제한, 동시접속 제한, 개인정보 조회·출력 최소화 기능을 적용한다.",모든 사용자가 전체 개인정보 조회 가능,"#6,"
,데이터베이스 접근,데이터베이스 내 저장 정보의 중요도에 따라 접근권한을 최소화하여 통제해야 한다.,"DBA 및 사용자 권한 분리, 직접 접속 통제, IP 제한 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제5조, 제6조",DB 접근은 응용프로그램을 통해서만 허용하고 불필요한 계정은 제거한다.,운영 DB에 개발자 계정으로 직접 접속 가능,"#6,"
,무선 네트워크 접근,"무선 네트워크 사용 시 사용자 인증, 통신 암호화, 비인가 AP 차단 등 보호대책을 적용해야 한다.","WPA2/3 적용 여부, 비인가 AP 탐지·차단 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제6조",업무용 무선망과 외부용 무선망을 분리하고 WIPS 등을 통해 Rogue AP를 차단한다.,외부용 무선망으로 내부 시스템 접근 가능,
,원격접근 통제,원격접근은 원칙적으로 제한하고 불가피한 경우 안전한 인증 및 접속수단을 적용해야 한다.,"VPN 사용 여부, 원격접속 승인 및이력 관리 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제6조","원격접근은 승인된 단말에서 VPN, OTP 등 강화된 인증을 통해서만 허용한다.","모든 PC에서 VPN 접속 가능, 접속 범위 제한 없음","#15,#18"
,인터넷 접속 통제,악성코드 감염 및 정보유출 방지를 위해 업무용 단말의 인터넷 접속을 통제해야 한다.,"유해사이트 차단, P2P 및 웹하드 통제 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제6조","업무 PC 인터넷 접속 정책을 수립하고 망분리, 차단 솔루션을 적용한다.",DB 서버에서 외부 인터넷 접속 가능,
암호화 적용,암호정책 적용,"개인정보 및 주요정보 보호를 위해 법적 요구사항을 반영한 암호정책을 수립하고 저장, 전송, 전달 시 암호화를 적용해야 한다.","암호 대상·강도·알고리즘 정의 여부, 저장, 전송 시 암호화 적용 여부, 법적 요구사항 반영 여부","개인정보 보호법 제24조의2, 제29조

 개인정보의 안전성 확보조치 기준 제7조","개인정보 및 주요정보의 중요도와 처리 환경에 따라 암호화 대상을 정의하고, 
안전한 암호 알고리즘과 암호화 방식을 적용하여 저장·전송·전달 과정에서 정보 유출을 방지한다.","암호화 대상 정의 미흡, 중요정보 평문 저장·전송, 취약한 암호 알고리즘 사용, 시스템 설정, 소스코드 내 비밀번호 평문 저장",
,암호키 관리,"암호키의 생성, 이용, 보관, 배포, 변경, 복구, 파기에 대한 관리 절차를 수립, 이행하고, 암호키 접근을 최소화해야 한다.","암호키 생명주기 관리 절차 존재 여부, 안전한 보관·접근통제 여부, 복구, 파기 절차 마련 여부","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제7조","암호키를 별도의 안전한 장소에 보관하고 접근 권한을 최소화하며, 
정기적 변경 및 폐기 및 복구 절차를 포함한 암호키 관리 정책을 운영한다.","암호키 관리 정책 부재, 암호키 동일·장기 사용, 암호키 일부 누락, 개발, 운영 환경 간 암호키 분리 미흡",
정보시스템 도입 및 개발 보안,보안 요구사항 정의,"정보시스템 도입·개발 및 변경 시 정보보호 및 개인정보보호 관련 법적 요구사항, 최신 보안위협, 안전한 코딩방법 등 보안 요구사항을 정의하고 설계 단계부터 반영해야 한다.","보안 요구사항 정의 여부, 법적 요구사항 반영 여부, 설계 단계 반영 여부","개인정보 보호법 제29조

 개인정보의 안전성 확보조치 기준","시스템 도입, 개발, 변경 시 법적 및 기술적 보안 요구사항을 식별하고, 
인수 기준 및 설계·구현·테스트 전 과정에 반영","보안 요구사항 없이 시스템 도입, 안전하지 않은 암호 알고리즘 사용","#9,#10,#12,#20"
,보안 요구사항 검토 및 시험,"정의된 보안 요구사항이 도입, 개발, 변경된 시스템에 
적절히 적용되었는지 검토 및 시험하고, 취약점에 대한 개선조치를 수행해야 한다.","시험 수행 여부, 취약점 점검 여부, 개선조치 이행 여부","개인정보 보호법 제33조

개인정보 영향평가 관련 고시","인수 시험, 취약점 점검, 개선계획 수립 및 이행 점검, 개인정보 영향평가 수행","취약점 점검 없이 인수, 개선 없이 시스템 운영","#9,#10,#12,#20"
,시험 및 운영 환경 분리,개발 및 시험 시스템은 운영시스템과 분리하여 비인가 접근 및 변경 위험을 최소화해야 한다.,"환경 분리 여부, 불가피 시 보완통제 적용 여부",개인정보 보호법 제29조,"개발, 시험, 운영 환경 논리적 및 물리적 분리, 접근통제 및 변경 승인 절차 운영","운영환경에서 직접 소스 수정, 개발자가 운영 DB 접근","#12,#20"
,시험 데이터 보안,"시험 과정에서 운영데이터 유출을 방지하기 위해 시험 데이터 생성, 사용, 폐기에 대한 절차를 수립 및 이행해야 한다.","운영데이터 사용 제한, 시험 후 데이터 삭제 여부",개인정보 보호법 제29조,"시험 데이터 가명 및 비식별 처리, 사용 승인, 시험 종료 후 삭제",운영 개인정보를 시험 DB에 그대로 사용,"#12,#20"
,소스 프로그램 관리,"소스 프로그램은 인가된 사용자만 접근 가능하도록 관리하고, 운영환경에 보관하지 않아야 한다.","접근통제, 백업, 변경이력 관리 여부",개인정보 보호법 제29조,"형상관리 시스템 운영, 접근권한 관리, 변경 승인 및 이력 관리","소스코드 개인 PC 보관, 
변경이력 미관리","#12,#20"
,운영환경 이관,신규·변경 시스템을 운영환경으로 이관할 때 통제된 절차에 따라 시험 및 사용자 인수를 수행해야 한다.,"이관 절차 존재 여부, 승인 및 기록 관리",개인정보 보호법 제29조,"이관 승인, 롤백 계획, 불필요 파일 제거, 이관 기록 관리","승인 없이 운영환경 배포, 개발 산출물 잔존","#12,#20"
시스템 및 서비스 운영관리,변경관리,"정보시스템 관련 자산의 모든 변경내역을 관리할 수 있도록 절차를 수립·이행하고, 변경 전 성능 및 보안에 미치는 영향을 분석해야 한다.","자산 변경 절차 수립 여부, 변경 전 영향 분석 수행 여부",개인정보 보호법 제29조,"하드웨어, 운영체제, 상용 소프트웨어 등 자산 변경 시 공식 절차에 따라 
변경 요청, 승인, 검증, 이력 관리를 수행",변경 영향 분석 없이 시스템 변경을 수행한 경우,
,성능 및 장애관리,"정보시스템의 가용성 보장을 위해 성능 및 용량을 지속적으로 모니터링하고, 장애 발생 시 탐지·기록·분석·복구·보고 절차를 수립·관리해야 한다.","성능 모니터링 수행 여부, 장애 대응 및 보고 절차 운영 여부",개인정보 보호법 제29조,"성능·용량 임계치 설정, 장애 탐지 및 대응 절차, 장애 원인 분석과 재발 방지 대책 수립",장애 발생 후 기록·분석 없이 임시 조치만 수행한 경우,
,백업 및 복구관리,"정보시스템의 가용성과 데이터 무결성을 유지하기 위해 백업 대상, 주기, 방법, 보관, 복구 절차를 수립·이행하고, 정기적으로 복구 테스트를 수행해야 한다.","백업 정책 수립 여부, 복구 테스트 수행 여부",개인정보 보호법 제29조,"중요정보 백업, 이원화 보관, 복구 테스트",백업은 있으나 복구 테스트 미수행,
,로그 및 접속기록 관리,"로그 및 접속기록을 위변조, 분실 없이 안전하게 보관해야 한다.","로그 수집, 접근통제, 보존기간 준수",개인정보 보호법 제29조,시스템·보안·접속 로그 생성·보관·통제,로그 미수집 또는 보존기간 미준수,
,시간 동기화,로그 신뢰성을 위해 시스템 시간을 표준시각으로 동기화해야 한다.,"NTP 설정, 시간 오차 점검",개인정보 보호법 제29조,주요 시스템 시간 동기화 및 점검,시스템 간 시간 불일치,
,정보자산 재사용 및 폐기,"정보자산 재사용, 폐기 시 개인정보가 복구되지 않도록 처리해야 한다.","완전 삭제, 폐기 이력 관리",개인정보 보호법 제21조,"저장매체 완전삭제, 물리적 파기, 위탁관리",초기화만 수행 후 재사용,
시스템 및 서비스 보안관리,보안시스템 운영,"보안시스템을 유형별로 관리 및 운영하기 위한 절차를 수립, 이행하고 정책, 룰, 이벤트 모니터링을 통해 운영 현황을 관리해야 한다.","운영 절차 수립 여부, 관리자 지정 및 권한 통제, 정책, 룰 변경 관리, 이벤트 모니터링 수행","개인정보 보호법 제29조 

개인정보의 안전성 확보조치 기준 제6조","보안시스템 유형별 책임자 지정, 정책 등록, 변경, 삭제 절차 관리, 이벤트 모니터링 및 정기 점검 수행",정책 변경 이력이 관리되지 않거나 관리자 권한이 과도하게 부여된 경우,#40
,클라우드 보안,클라우드 서비스 이용 시 서비스 유형에 따른 보안책임을 명확히 하고 접근통제 및 보안설정을 통해 비인가 접근을 방지해야 한다.,"책임 분담 정의 여부, 관리자 권한 최소화, 보안설정 변경 통제, 접근 기록 관리",개인정보 보호법 제29조,"클라우드 서비스 유형별 책임 구분, 관리자 계정 보호, 접근통제·암호화·로그 관리",클라우드 관리자 권한이 불필요하게 다수에게 부여된 경우,#40
,공개서버 보안,외부에 공개되는 서버는 내부망과 분리하고 접근통제 및 취약점 점검을 통해 안전하게 운영해야 한다.,"DMZ 분리 여부, 접근통제 적용, 취약점 점검 수행, 불필요 서비스 차단",개인정보 보호법 제29조,"공개서버 네트워크 분리, 접근통제 적용, 최신 보안패치 유지",공개서버가 내부 시스템과 직접 연결되어 있는 경우,"#4,#5,#6,#7,#14,#16,#18,#27,#37,#38,#40"
,전자거래 및 핀테크 보안,전자거래 및 핀테크 서비스 제공 시 인증·암호화 등 보호대책을 수립하여 거래 안전성을 확보해야 한다.,"인증 및 암호화 적용 여부, 외부 시스템 연계 보안, 거래 정보 보호",개인정보 보호법 제29조,"결제정보 보호, 외부 연계 시스템 보안 검토, 사고 예방 대책 수립",외부 결제 연계 시 보안성 검토 없이 연동한 경우,#40
,정보전송 보안,개인정보 및 중요정보를 외부로 전송하는 경우 안전한 전송정책과 보호조치를 수립·이행해야 한다.,"전송 암호화 적용 여부, 협약, 계약 체결 여부, 전송 범위 관리",개인정보 보호법 제29조,"암호화 전송, 전송 대상 및 범위 최소화, 전송 이력 관리",암호화되지 않은 상태로 개인정보를 외부 전송한 경우,"#4,#40"
,업무용 단말기 보안,"업무용 단말기 사용 시 기기 인증, 접근통제 및 보안설정을 적용하고 주기적으로 점검해야 한다.","단말기 등록·승인, 보안설정 적용, 분실·도난 대응",개인정보 보호법 제29조,"단말기 인증, 보안프로그램 설치, 분실 시 원격조치",승인되지 않은 개인 단말기로 업무시스템에 접속한 경우,#40
,보조저장매체 관리,"보조저장매체 사용, 보관, 폐기에 대한 절차를 수립하고 중요정보가 유출되지 않도록 관리해야 한다.","사용 승인 절차, 보관 장소 통제, 반출입 관리",개인정보 보호법 제29조,"USB 등 매체 사용 통제, 보관·폐기 이력 관리",보조저장매체 사용 이력이 관리되지 않는 경우,#40
,패치관리,"운영체제 및 소프트웨어의 취약점을 예방하기 위해 
최신 패치를 적용하고 관리해야 한다.","패치 정책 수립 여부, 적용 현황 관리, 미적용 시 보완조치",개인정보 보호법 제29조,"패치 주기 설정, 영향도 분석 후 적용, 미적용 시 대안 마련",장기간 보안패치가 적용되지 않은 시스템 운영,"#11,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#26,#27,#28,#29,#30,#31,#32,#33,#34,#37,#40,#41"
,악성코드 통제,"악성코드로부터 정보시스템과 단말기를 보호하기 위한 예방, 탐지, 대응 대책을 수립 및 이행해야 한다.","백신 설치 여부, 최신 업데이트 유지, 감염 대응 절차",개인정보 보호법 제29조,"백신 프로그램 운영, 실시간 감시, 감염 시 대응 절차 수립",백신 미설치 또는 최신 업데이트가 이루어지지 않은 경우,#40
사고 예방 및 대응,사고 예방 및 대응체계 구축,"침해사고 및 개인정보 유출을 예방하고, 사고 발생 시 신속 및 효과적으로 대응하기 위한 내부·외부 대응체계와 절차를 수립·운영해야 한다.","침해사고 대응 절차 수립 여부, 대응 조직 및 역할 정의, 외부 전문기관 및 관계기관 협력체계 구축 여부","개인정보 보호법 제34조

정보통신망법 제48조의3, 제48조의4","사고 유형 정의, 탐지, 보고, 대응, 복구 절차 수립, 비상연락망 구성, 외부 보안업체 및 전문가 연계, 사고 대응 문서화","사고 대응 절차가 문서화되어 있지 않거나, 외부 대응기관과의 협력체계가 없는 경우",
,취약점 점검 및 조치,"정보시스템의 취약점을 정기적으로 점검하고, 발견된 취약점에 대해 조치 및 이력 관리 및 재발 방지 대책을 수립해야 한다.","정기 취약점 점검 수행 여부, 조치 결과 보고 및 이력 관리 여부, 미조치 취약점에 대한 위험 관리","개인정보 보호법 제29조

개인정보의 안전성 확보조치 기준 제4조,제6조","서버, 네트워크, 애플리케이션 취약점 점검, 결과 보고, 조치 완료 여부 확인, 이전 점검 결과와 비교 분석",취약점 점검은 수행했으나 조치 결과가 기록 및 관리되지 않는 경우,"#5,#9,#10,#12,#14,#16,#17,#18,#19,#20,#21,#22,#24,#27,#35,#36,#37,#38,#41"
,이상행위 분석 및 모니터링,"침해시도, 개인정보 유출 시도, 부정행위를 탐지하기 위해 로그, 트래픽, 이벤트를 수집, 분석, 모니터링하고, 이상 발견 시 즉시 조치해야 한다.","로그 수집 및 분석 체계 구축 여부, 이상행위 판단 기준 존재 여부, 탐지 후 대응 절차 운영 여부","개인정보 보호법 제29조

개인정보의 안전성 확보조치 기준 제6조","서버·네트워크·보안시스템 로그 분석, 이상행위 임계치 설정, 24×7 모니터링 고려, 대응 및 보고 체계",로그는 저장하나 이상행위 분석 및 대응 체계가 없는 경우,
